course name,course_credits,course_code,course_desc,lecture_topic,assessment_plan,level_of_course,mandatory_prereqs,department,mid_eval,end_eval,project_eval,quiz_eval,assignment_eval
Advanced Programming.xlsx,4,CSE 201,"The Advanced Programming is a successor to the Introduction of Programming course. The main goal of this course is to prepare students to the challenge of building large-scale programs which multiple functional components, some of which could be designed/implemented independently. The course will use Java to to introduce students to concepts of object orientation, reusable code design, test-driven development, programming to an application-programming-interface, pattern oriented program design and implementation etc. At the end of the course the students are expected to be able to work in teams in order to develop large application programs starting from a reasonably well-defined application design with multiple independent components with well-defined interfaces. 

NOTE: The course is not meant to teach the features of Java programming language","['• Introduction to Object Oriented Paradigm\n• Encapsulation\n• Identifying classes and objects\n• Working with objects', '• Class relationships\n* Interfaces', '• Polymorphism\n• Inheritance', '• Abstract class and methods\n• Object class\n• Comprable and Comparator interfaces', '* Generic programming\n* Collection framework', '• Introduction to defensive programming\n• Exception handling\n• Assertions\n* Debugging programs', '* Unit testing\n* Junit\n* Source code control', '* UML diagrams\n* Introduction to even driven programming using JavaFX', '* Introduction to processes and threads\n* Multithreaded programming', '* Thread pool\n* Mutual exclusion\n• Locks', '* Design patterns', '* Some more design patterns', 'Spill Over']","{'Type of Evaluation': '% Contribution in Grade', 'Quiz': 10, 'Laboratory': 20, 'Project': 20, 'Mid-sem': 20, 'End-sem': 30, '*Please insert more row for other type of Evaluation': None, 'Resource Material': None, 'Type': 'Title', 'Textbook': 'Core Java - Volumes I and II', 'Reference': 'Program Development in Java - Abstraction, Specification, and Object-Oriented Design.'}",2,"CSE101, CSE102",CSE,20,30,20,10,
,,,,,,,,,,,,,
Advanced Topics in Human Centred Computing.xlsx,4,DES7xx,"The course provides an advanced level undertstanding of current-day HCC frameworks and research methodologies. The aim of the course is to develop ability to conduct research in the area of HCC. During the course, the students will learn about existing frameworks and research methodologies that are currently used and also how to apply them.","['Introduction ', 'Feminist HCI Lens Methodology', 'Feminist HCI Applications', 'DBIR Methodology', 'DBIR Applications', 'Aspiration-based design Methodology', 'Aspiration-based design Applications', 'Asset-based design Methodology', 'Asset-based design Applications', 'HCC for Development', 'HCC for Development', 'Emerging Themes in HCC', 'Emerging Themes in HCC']","{'Type of Evaluation': '% Contribution in Grade', 'Assignments': 15, 'Research Report': 10, 'Project': 40, 'Mid-sem': 10, 'End-sem': 20, 'Class Participation': 5}",7,"DES204, Ability to program mobile and web based systems",DES,10,20,40,,15
,,,,,,,,,,,,,
Advanced Topics in Mobile Computing.xlsx,4,CSE734,"Mobile Computing research is progressing at a fast pace. With close to 3.5 billion phone users, mobile phones have become the ubiquitous computing platform. In last decade, the research has progressed in the areas of  cyber foraging, cloud computing, sensing and activity inference, opportunistic communications, etc. to create the next-generation mobile computing systems. An example is the prevalence and popularity of location-aware services where sensing, cloud computing, and mobile platforms are combined to provide a personalized, context-aware service. 
In this course, we will be studying, through  research papers (approximately 20+ papers from Mobisys, IEEE Transactions on Mobile Computing, SigComm, UbiComp, CHI, CSCW)  latest advances in the mobile computing research, including but not limited to sensing, activity recognition, augmented and virtual reality,  applications in the areas of health, education, etc.  The course will be of the research nature and will involve advanced programming projects as part of the requirement. It will be assumed that the student has full understanding of Operating System, Computer networks, and has advanced programming skills with mobile and web-based platforms.  ","['Introduction to Mobile Computing and Course Overview', 'On-device Mobile Computing Systems: sensing systems for Activity recognition: smartphones, watches, augemented/virtual reality', 'Cloud-based Mobile Computing Systems: mobile-cloud communication, middleware, data management, etc.  ', 'Applications of Mobile based systems in different domains, e.g., health, education, low-resource settings, etc.  ']","{'Type of Evaluation': '% Contribution in Grade', 'Written critical summary of research papers (15 summaries) - from 2nd week till 12th week': 70, 'Project Demo 1 (4th week) ': 5, 'Project Demo 2.   (8th week)': 5, 'Project Final Demo (13th week)': 10, 'End-sem ': 10}",7,,CSE,,10,5,,
,,,,,,,,,,,,,
Advanced Writing.xlsx,2,SSH311/511,"This is an advanced writing course to train students in writing for academic and formal contexts. The modules of the course are designed to result in predefined writing outcomes with separate modules to develop each student's ability to communicate effectively in his or her academic life. The major emphasis is on three specific types of writing: encyclopaedic, opinion pieces, and journalistic writing. This course has activity-based sessions with intensive mentoring and feedback from the faculty. The writing assignments are cumulative, building on one acquired writing skill to develop into another. The tentative order of instruction is as follows First in preparation of the encyclopaedic articles on a specific topic, the students will learn to collate information, followed by learning to write an opinion piece on the same topic where they will use information from different sources to support/build their argument. This will lead to the third component of writing journalistic articles again on the same/similar topic where subjective opinions need to be tactfully handled while creating a specific angle while dealing with factual data. At the end of each component, there will be a response session with longer memo and ","['Introduction to the course, discussion on the significance of context-content relationships, strategies of claim-evidence, and organisation of information. ', 'Encyclopaedic article: Introduction to Encyclopaedic article and discussion on justification and initial peer-feedback', 'Encyclopaedic article: Discussion on the sources, organisation, and content. ', 'Encyclopaedic article: Structuring the information collected in a sequential manner towards making of the first draft. ', 'Response session and class assignment: First Longer Memos', 'Opinion piece: Introductory session on Opinion Piece, Discussion with examples', 'Opinion piece: Understanding of difference in perspectives, Line of argument, and rationale', 'Opinion Piece: Discussion on creating the structure of the opinion piece, Preparation of the first draft. ', 'Response session and class assignment: Second Longer Memos', 'Journalistic piece: Introductory session and discussion on researching on the topic, compiling the facts, and creating an article outline. ', 'Journalistic piece: Discussion on structuring of data, mapping audience reachability, finding an angle of expression, considering interviews and other opinions. Creating a simple mind-map. ', 'Journalistic piece: Drafting of article with peer-feedback, rechecking facts and consistence with style and outline earlier designed. ', 'Response Session and class assignment: Third Longer Memos']",{},5,Knowledge of English Language,SSH,,,,,
,,,,,,,,,,,,,
Affective Computing.xlsx,4,CSE5xx,"Affective Computing focuses on enabling the machines with emotion recognition and adaptive interaction. It lies in the intersection of Computer Science and human Psychology. This course will overview the emotion theory, computational modelling of emotions, analysis of emotions using different modalities (such as voice, facial expressions, physiological signals etc) and related machine learning and/or signal processing techniques. We will also discuss ethical, legal and social implications of affective computing particulary in relation to Human-Machine Interaction. ","['Fundamentals of Affective Computing', 'Emotion Theory', 'Emotion and Social Interaction', 'Experimental Design: Inducing Emotion', 'Emotions in Text', 'Emotions in Voice/Facial Expressions', 'Emotions in Physiological Signals', 'Multimodal Recognition', 'Emotional Empathy in Machines/Robots/Agents', 'Online recognition of emotions: Challenges and Opportunities', 'Case Study: Lie and/or Stress Detection', 'Ethical, legal and Social Implications of Affective Computing', 'Project Presentations']","{'Type of Evaluation': '% Contribution in Grade', 'Class Participation': 5, 'Assignments (including Programming)': 10, 'Quiz': 15, 'Mid Sem Exam': 20, 'Project': 25, 'End Sem Exam': 25, '*Please insert more row for other type of Evaluation': None}",5,Knowledge of English Language,CSE,20,25,25,15,10
,,,,,,,,,,,,,
Algorithm Design and Analysis-B.xlsx,4,CSE223,"This is a follow-up course to DSA (Data Structures and Algorithms) for non-CSE/CSAM students. The focus of this course is to introduce students to design and analysis of algorithms and their proofs of correctness. Students learn fundamental algorithmic design paradigms such as greedy algorithms, dynamic programming, divide and conquer, etc. . ","['Discrete Math Basics : Induction, Solving recurrences, Introductory graph theory, Introduction to asymptotic analysis,.', ""Intro to algorithms and analysis : Karatsuba's Multiplication, Binary Search analysis using recurrence"", 'Divide and conquer: Introduction, Merge Sort, Quicksort\n, median finding algorithm', 'Graph algorithms: BFS, DFS, Strongly connected components', 'Greedy algoirthms for Graph Problems ; minimum spanning trees - Kruskal, Shortest Path (Dijkstra)', 'Dynamic programming: Fibonacci, chain matrix multiplication, 0/1 knapsack problem, sequence alignment, Bellman Ford', 'Time kept for quizzes']","{'Type of Evaluation': '% Contribution in Grade', 'Assignment': 5.0, 'Laboratory': 10.0, 'Quiz': 10.0, 'Mid-sem': 30.0, 'End-sem': 45.0, '*Please insert more row for other type of Evaluation': None, 'Resource Material': None, 'Type': 'Title', 'Textbook': 'Fundamentals of Algorithms, Brassard-Bretley'}",2,"Must have taken data
structure and programming",CSE,30,45,,10,5
,,,,,,,,,,,,,
Algorithm Design and Analysis.xlsx,4,CSE222,"This is a follow-up course to DSA (Data Structures and Algorithms). The focus of this course in on the design of algorithms, proofs of correctness and methods to analyse resource requirements of their algorithms. Students learn fundamental algorithmic design paradigms such as greedy algorithms, dynamic programming, divide and conquer, etc. and also learn some more data structures. The later part of the course focuses on the limitations of algorithms. In particular, the theory of NP-completeness. Students are also required to design and implement algorithms using the techniques the learn.","['Solving recurrences, Introductory graph theory, Introduction to asymptotic analysis, Refresher for Combinatorics, Sets Vectors and Matrices.', 'Stable marriage', 'Graph algorithms: BFS, DFS, Strongly connected components, Dijkstra', ""Divide and conquer: Introduction, Merge Sort,\nclosest pair of points, convex Hull, Strassen's efficient matrix multiplication, median finding algorithm""]","{'Type of Evaluation': '% Contribution in Grade', 'Assignment': 5.0, 'Laboratory': 10.0, 'Quiz': 10.0, 'Mid-sem': 30.0, 'End-sem': 45.0, '*Please insert more row for other type of Evaluation': None, 'Resource Material': None, 'Type': 'Title', 'Textbook': 'Fundamentals of Algorithms, Brassard-Bretley'}",2,"Must have taken data
structure and programming",CSE,30,45,,10,5
,,,,,,,,,,,,,
Analytic Number Theory.xlsx,4,MTH516,Analytic Number Theory is a branch of mathematics that uses analytic tools to solve number theoritic problems. It is well-known for its results on prime numbers (Prime Number Theorem and Riemann Zeta function). In this course the main aim is to study the Riemann Zeta function and its connection with the distribution of prime numbers and finally to prove the Prime Number Theorem - PNT using analytic tools.,"['Introduction to: Riemann Zeta function and Prime Number Theorem, Problems in Analytic Number Theory.', 'Arithmetic Functions I : Additive and Multiplicative functions, Moebius function, Euler Phi functions, The Von Mangoldt function and Divisor function, Dirichlet product of arithmetic functions.', ""Arithmetic Functions II : Euler's summation formula, Summation by parts, Kronecker's lemma, Relation between different mean values, Dirichlet series and summatory functions, The Convolution method."", ""Distribution of Primes I : Chebyshev's type estimate, Merten's type estimates, Elementary consequences of PNT, The PNT and averages of Moebius function."", 'Arithmetic Functions III : Analytic and Algebraic properties of Dirichlet series, Mellin transform representation of Dirichlet series, Analytic continuation of the Riemann zeta function, Lower bounds for error terms in summatory functions, Evaluation of Mertens’ constant.', 'Distribution of Primes II : Upper and Lower bounds of Riemann Zeta function, Zero free region, Functional Equation, Estimation of zeros,  Proof of the PNT and its consequences.']","{'Type of Evaluation': '% Contribution in Grade', 'Assignments': 20, 'Presentations': 15, 'Mid Semester Exam': 25, 'End Semester Exam': 40}",5,MTH 341/541,MTH,25,40,,,20
,,,,,,,,,,,,,
Animation and Graphics.xlsx,4,DES302,"This course will take you right through the fundamentals of Graphic Design from photorealism up to the point where fantasy and imagination begins. You will understand usage of the colour wheel. Through actual classroom exercises, you will be able to understand concepts of how to put 3D objects on a 2D paper. Visualise the physical space, create it through the computers, visualising scenes, lighting them, understanding surfaces, materials, animating anything you create, including objects, lights, cameras. Even studying the effects of weather on how you view things. For those who are creative even the sky is not your limit","['Visual Chemistry of Colours\xa0', '   Digital Art / Infographics', 'Principles of Engineering Drawing\xa0', 'Isometric Drawing and Perspective\xa0', 'Modelling of\xa0 3d Objects\xa0', 'Surface Mapping of Images and materials\xa0- Lighting', 'Principles of Animation,\xa0 Creating\xa0 Movement Paths\xa0, Camera Positioning']","{'Type of Evaluation': '% Contribution in Grade', 'Mid-termTheory Exam ': 20, 'Digital Art Project': 10, 'Assignments ': 30, 'Mid Term project': 10, 'End Sem  Project': 20, 'Class Participation': 10}",3,None,DES,20,20,10,,30
,,,,,,,,,,,,,
Antenna Theory and Design.xlsx,4,ECE431 / ECE631,The course aims to introduce the principles of antenna theory and design as well as wave propagation to senior undergraduate and graduate students who have a background in fundamental electromagnetics. The course will enable the students to understand the operation of common antennas and provide them an opportunity to design and test antennas. Thus the course will combine both the theoretical and practical aspects of antenna design. This course may be useful to students interested in implementing wireless systems (communications and radar).,"['Introduction - Review of vector calculus, review of Maxwells equations, Materials and free space, Wave propagation', 'Why do antennas radiate? - Vector potential A for electric current source, vector potential F for magnetic current source, solution of inhomogeneous Helmholtz equation, far field radiation', 'Radiation pattern, beamwidth, directivity, antenna efficiency and gain, bandwidth, input impedance, polarization, antenna effective length and effective area, Friis transmission equation', 'Infinitesimal, small and half wavelength dipoles, effect of conductors near ground planes, monopoles, loop antennas', 'Antenna arrays - Two element array, N element array, planar array and adaptive beamforming', 'Aperture antennas - rectangular aperture, slot antennas and arrays', 'Microstrip antennas - rectangular patch, linear and circular polarization, bandwidth, efficiency', ""Broadband antennas - Chu's limit, Yagi antenna, helical antenna"", 'New antennas - active antennas, wearable antennas', 'Project']","{'Type of Evaluation': '% Contribution in Grade', 'Homework': 15, 'Quiz': 10, 'Mid-sem': 25, 'End-sem': 30, 'Project': 20}",6,ECE230 Fields and Waves,ECE,25,30,20,10,
,,,,,,,,,,,,,
Anthropology of Social Media.xlsx,4,SOC205,"When we hear the words 'social media' we immediately think of Facebook and Twitter, WhatsApp and Instagram. But these are just platforms. Actually, Social media is the vast amount of content we have produced and its consequences for our lives. The content we produce are not just memes and selfies alone, but they are also tools for making and breaking relationships, a means for creating equality and/or reinforcing inequality. While there have been grand claims made about how social media has impacted the lives of people around the world, we often fail to ask is it really likely that social media has changed the life of a low-income builder in Brazil in exactly the same way as it has for an IT professional in South India or that of a factory worker in China? Consider this claim... social media is a sort of big brother that knows all our intimate details and we have lost our rights to privacy. While it is true for some, it is equally true that social media is also the first-time people experience privacy. For e.g. In China, for some people far from being a threat to their privacy, social media was actually the very first time they had experienced what we would call individual privacy. This was true in Turkey as well. Similarly, while it is true that while some might view social media as a distraction to education, it is equally true that for a few others social media is itself education. Likewise, for some the Selfie is more about expressing friendship rather than individual glamour, thus subverting the notion of individualism. How do we know this? Why do people see the same phenomenon differently? While it is important to understand ‘what’ content we produce, the question of why we produce such content is equally significant. This course meant as an introductory course is about ‘people’ and an attempt at understanding the affinities, connectedness, and reciprocities that social media builds. The course will also introduce ethnographic ways and means to study works of anthropologically informed social media cultures. The course would also focus on ontologies of media anthropology and specific texts that are produced through online ethnographies This course invites you to come and see for yourselves what people around the world do with social media.","['Introduction to Anthropology', 'Anthropology of Social Media - Why study Social Media', 'What is Social Media? - Content or Platform', 'Ethnographies of Social Media', 'Social Media and Reciprocity', 'Methodology: Virtual Ethnography', 'Studying Social Media and Online Behaviour', 'How to look at Big Data?', 'Doing Anthropology on Social Media', 'Connectedness and Social Network (Christakis and Fowler)', 'Social Media Usage and Trends: Case studies from India', 'Summing up and Review', 'Group Presentation']","{'Type of Evaluation': '% Contribution in Grade', 'Class Quiz': 10, 'Assignments': 20, 'Group Presentation': 25, 'Mid-Semester Examination': 20, 'End-Semester Examination': 25}",2,N/A,SOC,20,25,,10,20
,,,,,,,,,,,,,
Applied Ethics.xlsx,4,SOC205,"This course will introduce students to some of the fundamental debates in Applied Ethics. Applied Ethics offers a way to comprehend and analyse the fundamental moral and ethical problems of our times and generate arguments to justify ethical claims. The course will begin by introducing students to the major ethical theories like consequentialism, deontology, and virtue ethics. It will then demonstrate how these theories can be used to both understand and address some of the major ethical issues . Broad topics to be covered in this course include debates in environmental ethics, ethics of information technology, business ethics, bio ethics, animal rights, euthanasia, same-sex marriage, affirmative action, distributive justice and global poverty, abortion, torture, punishment, terrorism, privacy, surveillance, security, whistleblowing, civil disobedience etc. Specific Topics for instruction and discussion will be conveyed by the Instructor at the beginning of the semester.","['Introduction to Applied Ethics', 'Reading and Writing in Philosophy', 'Theories in Applied Ethics', 'Ticking time bomb and the problem of torture', 'Climate change and intergenerational justice', 'Climate change and intergenerational justice', 'Global poverty and the duty to aid', 'Global poverty and the duty to aid', 'Whistleblowing and professional responsibility', 'Whistleblowing and professional responsibility', 'Ethics of Information Technology: Democracy in the age of Information Technology', 'Ethics of Information Technology: Privacy', 'Revision']","{'Type of Evaluation': '% of contribution to the final grade', 'Mid-Term': 0.15, 'Response papers': 0.2, 'Project': 0.35, 'Class Participation': 0.1, 'End exam': 0.2}",2,N/A,SOC,15,20,35,,
,,,,,,,,,,,,,
